,Caption,Comments,Likes,URL,Object_Num,Label_0,Label_1,Label_2,Engagement,lat,lon,Short Name,Country,tagged_users
10,"@_millo_ wall in Rovigo, Italy 🇮🇹(2020)
•
#millo #urbanart #streetart #painting #streetartofficial #contemporaryart #rovigo #italy",16.0,2534.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/120199608_377566986739117_553841115776302141_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=RPjvLo8nFNAAX_W2C2U&ccb=7-4&oh=cfad6bc839e0570b87e9f89c6254c7ca&oe=60899479&_nc_sid=30a2ef&ig_cache_key=MjQwODc5NzU1ODIxMzI1OTgyNQ%3D%3D.2-ccb7-4,2.0,World, Building, Blue,40544.0,45.0698118,11.7902158,Rovigo,Italy,@_millo_
11,"@mr_aryz wall in Leiria, Portugal 🇵🇹(2020)
•
#mraryz #urbanart #streetart #painting #streetartofficial #contemporaryart #leiria #portugal",21.0,2184.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/120061309_114571730396129_1222646699645513060_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Wmx-pqSI3vUAX8nz3Oh&ccb=7-4&oh=32a50e947c16909ac79a90be9a88b9c7&oe=608B6A9E&_nc_sid=30a2ef&ig_cache_key=MjQwNDYzODcwNTI3NjAyMTQ3Mw%3D%3D.2-ccb7-4,2.0,Paint, Infrastructure, Sky,45864.0,39.74953310000001,-8.807682999999997,Leiria,Portugal,@mr_aryz
12,"@kobrastreetart wall in São Paulo, Brasil 🇧🇷(2020)
•
#kobrastreet #urbanart #streetart #painting #streetartofficial #contemporaryart #saopaulo #brasil",18.0,2894.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/119883849_389408142449908_7169466557551165951_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=fUHrsYsIwVUAX9YunSi&ccb=7-4&oh=e8230fd4426fb54c276498875b29eff9&oe=608B13D6&_nc_sid=30a2ef&ig_cache_key=MjQwMzE3NDUyNTc1ODkyOTk4Mw%3D%3D.2-ccb7-4,3.0,Sky, Cloud, Building,52092.0,-23.541173464978066,-46.63932178706282,São Paulo,Brazil,@kobrastreetart
13,"@hopare_1 wall in Stratsbourg, France 🇫🇷(2020)
•
#ardif #urbanart #streetart #painting #streetartofficial #contemporaryart #paris #france",37.0,3562.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/119210812_176891753934137_1485882021282035868_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Icxwq-iVWR8AX-23gvV&ccb=7-4&oh=023305ac7bbdc4dc2f09981eb63d9ddb&oe=608C34D6&_nc_sid=30a2ef&ig_cache_key=MjM5ODEyNjg4ODU4MDI1NTk5NA%3D%3D.2-ccb7-4,2.0,Art paint, Paint, Organism,131794.0,48.5734053,7.752111299999998,Strasbourg,France,@hopare_1
14,"@a_r_d_i_f wall in Paris, France 🇫🇷(2020)
•
#ardif #urbanart #streetart #painting #streetartofficial #contemporaryart #paris #france",19.0,3221.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/119070515_775866819895409_8458278472842573079_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=jXtIX0IKkecAX_aefQE&ccb=7-4&oh=0ebef57bec532aedc7b01a22c07015ad&oe=608954D1&_nc_sid=30a2ef&ig_cache_key=MjM5NTc1NjgwNDY4Nzc0NDA1MA%3D%3D.2-ccb7-4,5.0,Art, Grey, Wall,61199.0,48.8847958,2.3386006,Place des Abbesses,France,@a_r_d_i_f
15,"@seth_globepainter wall in Rennes, France 🇫🇷(2020)
•
#jr #urbanart #streetart #painting #streetartofficial #contemporaryart #rennes #france",20.0,2260.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/118823274_621768451864168_1762036085972541640_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=M4rxJ4HZ2WYAX85lBnX&ccb=7-4&oh=194ac52b9d0818d6ca3fc3e77185757f&oe=6089A265&_nc_sid=30a2ef&ig_cache_key=MjM5MjgxODEwOTM4NjkyOTYzNA%3D%3D.2-ccb7-4,2.0,Azure, Standing, Gesture,45200.0,48.117266,-1.6777925999999999,Rennes,France,@seth_globepainter
16,"@jr wall in Paris, France 🇫🇷(2020)
•
#jr #urbanart #streetart #painting #streetartofficial #contemporaryart #paris #france",18.0,2538.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/118627032_177049267210857_1384987377031421957_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=GGMPGESw6AYAX_bEkwr&ccb=7-4&oh=e041d52c45ddd3628ec428c64dee6f79&oe=60892BF8&_nc_sid=30a2ef&ig_cache_key=MjM5MjQwODcyNzAzNzg0ODM0OQ%3D%3D.2-ccb7-4,4.0,Sky, Plant, Cap,45684.0,48.85346072931622,2.348890959540728,Paris,France,@jr
17,"@leonkeer wall in Helsingborg, Sweden 🇸🇪(2020)
•
#leonkeer #urbanart #streetart #painting #streetartofficial #contemporaryart #helsingborg #sweden",72.0,7718.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/118642715_1246521065740340_9218077760879644759_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=-CQPy-7ZTRIAX-MCerC&ccb=7-4&oh=8799a109daca276a815e67b7365ce383&oe=608BCADF&_nc_sid=30a2ef&ig_cache_key=MjM5MDA0OTkzODM5NjczMzY1Nw%3D%3D.2-ccb7-4,6.0,Cloud, Sky, Building,555696.0,56.0464674,12.6945121,Helsingborg,Sweden,@leonkeer
18,"@mantrarea wall in Överum, Sweden 🇸🇪(2020)
•
#mantrarea #urbanart #streetart #painting #streetartofficial #contemporaryart #overum #sweden",21.0,2501.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/118645426_731406681039848_7592982771875447170_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Dv7v7kprOdkAX8uDBC9&ccb=7-4&oh=61a8b3046bc48e9c928ed0e8a8bceb5f&oe=60888E52&_nc_sid=30a2ef&ig_cache_key=MjM4Nzg4NTM5NzA2ODE4NDMzMg%3D%3D.2-ccb7-4,1.0,Pollinator, Insect, Arthropod,52521.0,57.989997200000005,16.3097296,Överum,Sweden,@mantrarea
19,"@mr_aryz wall in Versailles, France 🇫🇷(2020)
•
#mraryz #urbanart #streetart #painting #streetartofficial #contemporaryart #versailles #france",15.0,2333.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/118284541_311752353262627_694769395529302374_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=n-Z8Q62GRQMAX8WRt3J&ccb=7-4&oh=efeda9fcc9b919e96f44369319c01d99&oe=608B25F6&_nc_sid=30a2ef&ig_cache_key=MjM4NzM3MjAzMTU0NzM5NTA0OQ%3D%3D.2-ccb7-4,2.0,Paint, Sky, Art,34995.0,48.795619275052864,2.131365781793452,Versailles,France,@mr_aryz
20,"@inti.artist wall in Aalborg, Denmark 🇩🇰(2020)
•
#intiartist #urbanart #streetart #painting #streetartofficial #contemporaryart #aalborg #denmark",21.0,4043.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/118155879_176729033993429_2082994215934289575_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=6-vgxm4aZHAAX8QnTvG&ccb=7-4&oh=dc3016c0c9df6ded52193a333f7de34c&oe=608BEA15&_nc_sid=30a2ef&ig_cache_key=MjM4MjE5NjgzMDAzMTUzNzQyNw%3D%3D.2-ccb7-4,3.0,Photograph, Plant, Leaf,84903.0,57.04881949999999,9.921747,Aalborg,Denmark,@inti.artist
21,"@ellapitr wall in Versailles, France 🇫🇷(2020)
•
#ellapitr #urbanart #streetart #painting #streetartofficial #contemporaryart #versailles #france",32.0,3893.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/117991312_757344911498396_9089759769916403915_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=PJdyEAp7UOIAX8MzoLE&ccb=7-4&oh=16b8d94ef70290c20c836bef7a3df9ec&oe=608C4448&_nc_sid=30a2ef&ig_cache_key=MjM3OTUzNzAwODQ4NDA3MDMzNQ%3D%3D.2-ccb7-4,2.0,Art, Font, Pattern,124576.0,48.79832220273696,2.131772444276612,Versailles,France,@ellapitr
22,"@gomez.bueno wall in Santander, Spain 🇪🇸(2020)
•
#gomezbueno #urbanart #streetart #painting #streetartofficial #contemporaryart #santander #spain",7.0,1816.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/117396342_292979025321529_8533646863573375863_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=vrIRLw2gvI8AX8AJcyi&ccb=7-4&oh=2cdf529c8ee3aecc8cfdb0adf950c956&oe=608C4D2C&_nc_sid=30a2ef&ig_cache_key=MjM3NjM4NTc0NzA2NDYxMTI3Mw%3D%3D.2-ccb7-4,3.0,Building, Art, Wall,12712.0,43.4690007650011,-3.8043404104940186,Santander,Spain,@gomez.bueno
23,"@b0rdalo_ii wall in Viseu, Portugal 🇵🇹(2020)
•
#bordaloii #urbanart #streetart #painting #streetartofficial #contemporaryart #viseu #portugal",19.0,3299.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/117315471_122542665920417_3280556304107252664_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Rohek7e2wPcAX_sHoAr&ccb=7-4&oh=f9cbdb087118655b2594174d0e862385&oe=6089B4EE&_nc_sid=30a2ef&ig_cache_key=MjM3NDgxOTQyOTE2NTI2MjYxMg%3D%3D.2-ccb7-4,3.0,Art, Graffiti, Tree,62681.0,40.72764189999999,-7.9157099,Viseu,Portugal,@b0rdalo_ii
24,"@nevercrew wall in Lugano, Switzerland 🇨🇭(2020)
•
#nevercrew #urbanart #streetart #painting #streetartofficial #contemporaryart #lugano #switzerland",16.0,3398.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/117314230_623883484901088_3614104500425693331_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=zei80MfPuaQAX_fLhpB&ccb=7-4&oh=9858969285166d4ce4f47446aac1471a&oe=608962BA&_nc_sid=30a2ef&ig_cache_key=MjM3MzQyNDc5NTUzNjkwNjAyOQ%3D%3D.2-ccb7-4,1.0,Sky, Building, Window,54368.0,46.0036778,8.951051999999997,Lugano,Switzerland,@nevercrew
25,"@seth_globepainter wall in Paris, France 🇫🇷(2020)
•
#sethglobepainter #urbanart #streetart #painting #streetartofficial #contemporaryart #paris #france",13.0,3528.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/116992863_2668034573440695_5390259269463041156_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=dAa9xDcoa_EAX_NEZBK&ccb=7-4&oh=57eebdc1fd7d184214585e3f1b113fc3&oe=6089DA80&_nc_sid=30a2ef&ig_cache_key=MjM3MjQ3Nzg4Njg5OTA3NjM3MA%3D%3D.2-ccb7-4,7.0,Tire, Window, Wheel,45864.0,48.849380836102526,2.3570021698496126,Paris,France,@seth_globepainter
26,"@_millo_ wall in Borgo, Italy 🇮🇹(2020)
•
#millo #urbanart #streetart #painting #streetartofficial #contemporaryart #borgo #italy",21.0,3244.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/117148645_295133388241379_584972497640481884_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=nn9Swe70jeUAX-sCgOu&ccb=7-4&oh=6d9381f503fc465e359322445a939847&oe=608B4D2E&_nc_sid=30a2ef&ig_cache_key=MjM3MDYzMzc5Nzk0NjUwNzEwOA%3D%3D.2-ccb7-4,2.0,Sky, Cloud, Building,68124.0,41.9023751,12.461704,Borgo,Italy,@_millo_
27,"@telmomiel wall in Bolougne-sur-mer, France 🇫🇷(2020)
•
#telmomiel #urbanart #streetart #painting #streetartofficial #contemporaryart #bolougnesurmer #france",17.0,2619.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/116904653_657539218448154_5539021386926384771_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Bn-cyp1NSHMAX8I0Rmp&ccb=7-4&oh=2f6760b09020a3612ac0b2f4a2702ebe&oe=608A5F0E&_nc_sid=30a2ef&ig_cache_key=MjM3MDAwNzgyNTY5ODExMjAzNQ%3D%3D.2-ccb7-4,5.0,Sky, Vertebrate, Art,44523.0,50.725231,1.613334,Boulogne-sur-Mer,France,@telmomiel
28,"@cletabraham wall in Los Angeles, California, USA 🇺🇸(2018)
•
#cletabraham #urbanart #streetart #painting #streetartofficial #contemporaryart #losangeles #usa",28.0,3072.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/116582509_158742022512793_1526308555241485846_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=XcaSYGSKkLcAX-jg5xQ&ccb=7-4&oh=7ba15e97a28194be4594a519a04beb41&oe=608A8E49&_nc_sid=30a2ef&ig_cache_key=MjM2NzcyNzg1NTQyMDQ0NTkyMg%3D%3D.2-ccb7-4,0.0,Sky, Font, Traffic sign,86016.0,34.0522342,-118.24368490000002,Los Angeles,United States,@cletabraham
29,"@falko1graffiti wall in Johannesburg, South Africa 🇿🇦(2020)
•
#falkograffiti #urbanart #streetart #painting #streetartofficial #contemporaryart #johammesburg #southafrica",21.0,2925.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/116427276_340593120678832_3627316779628970731_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=f5jf8Cl9Vs8AX-SH1Nx&ccb=7-4&oh=a9fe4cb8b0d54a49ce82210688f1bef1&oe=608B740D&_nc_sid=30a2ef&ig_cache_key=MjM2Njg2Njg5NjMwMDU0NTEwMA%3D%3D.2-ccb7-4,2.0,Building, Property, Sky,61425.0,-26.2041028,28.047305100000003,Johannesburg,South Africa,@falko1graffiti
30,"@telmomiel wall in Rotterdam, Netherlands 🇳🇱(2020)
•
#telmomiel #urbanart #streetart #painting #streetartofficial #contemporaryart #rotterdam #netherlands",13.0,1990.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/116106787_295493048203701_8452726724128864959_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=gGAcWSXHpnYAX8yI4OD&ccb=7-4&oh=31d4dd5de59fa8549eab490ac8825886&oe=608B77ED&_nc_sid=30a2ef&ig_cache_key=MjM2MzMwNDk4MzY0NjE2ODIxNA%3D%3D.2-ccb7-4,10.0,Car, Wheel, Property,25870.0,51.92224470000001,4.4682248,Weena,Netherlands,@telmomiel
31,"@gary_stranger wall in Portsmouth, United Kingdom 🇬🇧(2020)
•
#garystranger #urbanart #streetart #painting #streetartofficial #contemporaryart #portsmouth #uk",25.0,3516.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/115939976_1980495498747700_5778322646460619433_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=cOvxWmnwpo8AX_Jdkgl&ccb=7-4&oh=bb137b2c7e253d5fd21a0c731bb27105&oe=6088DCDA&_nc_sid=30a2ef&ig_cache_key=MjM2MjYzOTk4NjMwMTM5NTYwNQ%3D%3D.2-ccb7-4,1.0,Colorfulness, Orange, Art,87900.0,50.8197675,-1.0879769,Portsmouth,United Kingdom,@gary_stranger
32,"@pastelfd wall in Paris, France 🇫🇷(2017)
•
#pastelfd #urbanart #streetart #painting #streetartofficial #contemporaryart #paris #france",19.0,3130.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/115734415_333453611392303_4733208204262857770_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=NpvTlnz1HmQAX_9xMgQ&ccb=7-4&oh=03fa5924a2590edb40b3590744c7b25d&oe=608B504B&_nc_sid=30a2ef&ig_cache_key=MjM1OTEwODgyMjQ4MzY4OTYzMw%3D%3D.2-ccb7-4,4.0,Building, Plant, Window,59470.0,48.86391056582201,2.355717896979629,Paris,France,@pastelfd
33,"@streetart_official wall in Caldas De Rainha, Portugal 🇵🇹(2020)
•
#addfuel #urbanart #streetart #painting #streetartofficial #contemporaryart #caldasderainha #portugal",18.0,3398.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/110246746_928008151044136_3647396324370266803_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=5EHMXW8TW7kAX-YftJH&ccb=7-4&oh=76ddf2a5eb24e702bfa1187738609daa&oe=6089B769&_nc_sid=30a2ef&ig_cache_key=MjM1NjY3ODg4ODY0OTg5NjMwNA%3D%3D.2-ccb7-4,4.0,Sky, Daytime, Building,61164.0,39.4048977,-9.135404,Caldas da Rainha,Portugal,@streetart_official
34,"@akut_herakut wall in Mannheim, Germany 🇩🇪(2020)
•
#akutherakut #urbanart #streetart #painting #streetartofficial #contemporaryart #mannheim #germany",6.0,2064.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/109774348_320753349056005_4908397562443422244_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=J_ykSkTTI1YAX_EEgwL&ccb=7-4&oh=028ff1e9d97a44d2db589c472600880d&oe=6089855D&_nc_sid=30a2ef&ig_cache_key=MjM1NTU0OTE0NzAwMzc5OTQxOQ%3D%3D.2-ccb7-4,0.0,Plant, Building, Paint,12384.0,49.4874592,8.466039499999999,MA,Germany,@akut_herakut
35,"@inti.artist wall in Grenoble, France 🇫🇷(2020)
•
#intiartist #urbanart #streetart #painting #streetartofficial #contemporaryart #grenoble #france",25.0,2391.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/110046867_205989080783391_296533368487618284_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=v5Kkze4V2NEAX9wUOB9&ccb=7-4&oh=71446a1e7adacdd5bdfaa1784ef09691&oe=6089CBB3&_nc_sid=30a2ef&ig_cache_key=MjM1NTU0ODM3ODk0MjY5MDQ4OA%3D%3D.2-ccb7-4,2.0,Sleeve, Dress, Art,59775.0,45.188528999999996,5.724524,Grenoble,France,@inti.artist
36,"@hopare1 wall in Paris, France 🇫🇷(2020)
•
#hopare1 #urbanart #streetart #painting #streetartofficial #contemporaryart #paris #france",31.0,5286.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/109063432_159180012404294_7082812280876436890_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=W9nF3py1jrAAX_Qftx4&ccb=7-4&oh=3ae9f50ceb67aaf68607ff146c3fcebd&oe=608A73EB&_nc_sid=30a2ef&ig_cache_key=MjM1NDQ0MDQ2OTc3MzA0MjE1OQ%3D%3D.2-ccb7-4,4.0,Daytime, Human, Art,163866.0,48.854717153631505,2.3447792099946385,Paris,France,@hopare1
